"id","kategorie","skupina","podnet","usmev","smer","kvalita","intenzita","instinkt","sire_oboci","vnitrni_oboci","zevni_oboci","horni_vicko","dolni_vicko","sire_koutky","vyska_koutky","horni_ret","dolni_ret","vyska_usta","horizontalne_hlava","vertikalne_hlava","atraktivita"
"1","kontakt","1","zdvorilost","1",1,0,2,5,0,8,13,5,7,28,23,3,16,6,3,7,112
"1","kontakt","1","pratelstvi","2",1,1,2,5,1,8,6,6,4,25,37,6,13,8,1,9,125
"1","kontakt","1","radost","3",1,2,2,5,1,11,13,0,10,16,42,10,14,16,5,8,77
"1","vstrictnost","2","empatie","4",1,0,2,4,0,5,7,2,16,26,46,1,13,9,2,3,132
"1","vstrictnost","2","dik","5",1,1,2,4,0,8,2,5,6,16,42,0,12,6,2,3,128
"1","vstrictnost","2","obdiv","6",1,2,2,4,0,9,6,3,1,16,27,6,17,1,5,4,125
"1","evokace","3","sdeleni","7",1,0,2,3,8,1,15,0,1,6,22,8,28,1,1,7,116
"1","evokace","3","svadeni","8",1,1,2,3,4,9,13,9,12,2,45,6,14,8,10,10,141
"1","evokace","3","vyzva","9",1,2,2,3,0,28,36,6,6,20,34,4,8,11,8,7,107
"1","obrana","4","nevinnost","10",1,0,2,5,17,4,18,2,1,7,8,10,18,16,9,6,83
"1","obrana","4","stud","11",1,1,2,5,12,9,15,6,11,10,9,3,18,3,11,3,98
"1","obrana","4","omluva","12",1,2,2,5,28,10,13,4,1,16,23,7,9,6,9,4,83
"1","agrese","5","ironie","13",1,0,0,2,7,3,13,3,7,28,31,7,19,14,4,6,89
"1","agrese","5","arogance","14",1,1,0,2,15,11,1,2,6,25,35,9,10,11,5,5,83
"1","agrese","5","zlost","15",1,2,0,2,0,13,12,16,5,16,19,1,13,15,2,3,80
"1","reakce","6","pozornost","16",1,0,1,1,4,23,31,6,8,4,17,0,5,0,6,7,79
"1","reakce","6","zvedavost","17",1,1,1,1,0,13,15,5,18,11,8,8,5,12,3,5,95
"1","reakce","6","prekvapeni","18",1,2,1,1,0,32,35,7,0,6,20,10,9,19,5,6,76
"1","rozhodnuti","7","nesouhlas","19",1,0,1,6,9,6,4,3,9,5,38,1,12,10,14,6,73
"1","rozhodnuti","7","nerozhodnost","20",1,1,1,6,4,9,2,17,4,7,25,9,9,1,4,4,88
"1","rozhodnuti","7","souhlas","21",1,2,1,6,27,26,8,13,8,19,56,3,5,22,9,4,110
"1","pohoda","8","blazenost","22",0,0,2,0,3,4,5,25,3,0,52,3,19,43,9,9,132
"1","pohoda","8","poteseni","23",0,1,2,0,1,2,15,0,15,44,59,5,20,1,0,7,138
"1","pohoda","8","hrdost","24",0,2,2,0,11,7,19,2,18,13,48,3,13,39,6,7,105
"1","zabava","9","pobaveni","25",0,0,2,4,0,6,1,9,4,38,56,6,9,9,5,7,132
"1","zabava","9","veseli","26",0,1,2,4,0,15,7,16,2,36,50,4,21,6,2,6,133
"1","zabava","9","smich","27",0,2,2,4,0,7,6,23,7,45,67,4,17,9,7,9,116
"1","odmitnuti","10","skepse","28",0,0,0,0,2,0,1,7,1,17,27,2,7,14,2,6,104
"1","odmitnuti","10","nuda","29",0,1,0,0,0,0,6,18,6,0,16,16,14,7,7,6,104
"1","odmitnuti","10","znechuceni","30",0,2,0,0,16,10,5,2,2,6,25,1,11,4,4,6,83
"1","deprese","11","smutek","31",0,0,0,3,15,7,3,8,5,2,25,10,17,8,2,5,82
"1","deprese","11","frustrace","32",0,1,0,3,6,4,3,2,8,14,28,2,13,5,2,4,62
"1","deprese","11","bolest","33",0,2,0,3,25,17,14,30,9,2,21,9,8,8,2,4,64
"1","obava","12","starost","34",0,0,0,2,33,11,6,10,5,5,18,11,13,7,1,6,78
"1","obava","12","znepokojeni","35",0,1,0,2,26,8,3,4,6,5,23,3,13,1,4,4,81
"1","obava","12","ulek","36",0,2,0,2,4,15,21,4,9,13,25,12,13,0,5,8,62
"1","rozvaha","13","rozmysl","37",0,0,2,6,6,2,24,2,3,44,22,6,11,2,5,7,104
"1","rozvaha","13","optimizmus","38",0,1,2,6,0,2,1,10,6,15,26,2,20,1,1,5,113
"1","rozvaha","13","odhodlani","39",0,2,2,6,14,2,8,2,4,15,27,6,16,3,4,4,70
"1","ocekavani","14","nadeje","40",0,0,1,1,0,20,25,1,7,2,31,8,10,2,5,3,93
"1","ocekavani","14","vzruseni","41",0,1,1,1,0,25,26,15,9,25,37,4,9,4,1,3,102
"1","ocekavani","14","nadseni","42",0,2,1,1,2,18,24,10,12,32,51,18,18,8,5,9,115
"2","kontakt","1","zdvorilost","1",1,2,2,6,0,32,36,9,18,45,67,5,5,19,14,10,141
"2","kontakt","1","pratelstvi","2",1,2,2,6,0,28,35,6,9,44,59,4,5,16,11,9,138
"2","kontakt","1","radost","3",1,2,2,6,0,25,31,6,9,44,56,1,5,15,10,9,133
"2","vstrictnost","2","empatie","4",1,2,2,6,0,23,26,5,6,38,56,1,7,14,9,9,132
"2","vstrictnost","2","dik","5",1,2,2,6,0,20,25,4,6,36,52,0,8,12,9,9,132
"2","vstrictnost","2","obdiv","6",1,2,2,6,0,18,24,4,4,32,51,0,8,9,9,8,132
"2","evokace","3","sdeleni","7",1,2,2,5,0,15,24,3,1,28,50,1,9,8,9,8,128
"2","evokace","3","svadeni","8",1,2,2,5,0,13,21,2,1,28,48,1,9,6,8,7,125
"2","evokace","3","vyzva","9",1,2,2,5,0,11,19,2,1,26,46,2,9,6,7,7,125
"2","obrana","4","nevinnost","10",1,2,2,5,0,11,18,2,0,25,45,2,9,6,7,7,116
"2","obrana","4","stud","11",1,2,2,5,0,10,15,0,1,25,42,2,9,4,6,7,116
"2","obrana","4","omluva","12",1,2,2,5,0,10,15,0,1,25,42,3,10,4,6,7,115
"2","agrese","5","ironie","13",1,2,2,4,0,9,15,0,2,20,38,3,10,3,5,7,113
"2","agrese","5","arogance","14",1,2,2,4,0,9,15,1,2,19,37,3,11,3,5,7,112
"2","agrese","5","zlost","15",1,1,2,4,0,8,13,2,3,17,37,3,11,1,5,7,110
"2","reakce","6","pozornost","16",1,1,2,4,1,8,13,2,3,16,35,3,12,1,5,6,107
"2","reakce","6","zvedavost","17",1,1,2,4,1,7,13,2,4,16,34,3,12,0,5,6,105
"2","reakce","6","prekvapeni","18",1,1,2,4,1,7,13,2,4,16,31,4,13,0,5,6,104
"2","rozhodnuti","7","nesouhlas","19",1,1,2,3,2,5,13,2,4,16,31,4,13,1,5,6,104
"2","rozhodnuti","7","nerozhodnost","20",1,1,2,3,2,4,8,3,5,16,28,4,13,1,5,6,104
"2","rozhodnuti","7","souhlas","21",1,1,2,3,3,4,7,3,5,15,27,6,13,1,4,6,102
"2","pohoda","8","blazenost","22",0,1,1,3,4,2,6,4,5,15,27,6,13,1,4,6,98
"2","pohoda","8","poteseni","23",0,1,1,3,4,2,6,5,6,14,27,6,13,2,4,6,95
"2","pohoda","8","hrdost","24",0,1,1,3,4,2,6,5,6,13,26,6,13,2,4,6,93
"2","zabava","9","pobaveni","25",0,1,1,2,4,2,5,6,6,13,25,6,13,5,3,5,89
"2","zabava","9","veseli","26",0,1,1,2,6,1,5,6,6,11,25,6,14,6,3,5,88
"2","zabava","9","smich","27",0,1,1,2,6,0,4,7,7,10,25,7,14,7,2,5,83
"2","odmitnuti","10","skepse","28",0,1,1,2,7,0,3,7,7,7,25,7,14,7,2,5,83
"2","odmitnuti","10","nuda","29",0,0,1,2,8,3,3,8,7,7,23,8,16,8,2,4,83
"2","odmitnuti","10","znechuceni","30",0,0,1,2,9,4,3,9,7,6,23,8,16,8,2,4,83
"2","deprese","11","smutek","31",0,0,0,1,11,6,2,10,8,6,23,8,17,8,2,4,82
"2","deprese","11","frustrace","32",0,0,0,1,12,6,1,10,8,6,22,9,17,8,2,4,81
"2","deprese","11","bolest","33",0,0,0,1,14,7,1,10,8,5,22,9,17,9,2,4,80
"2","obava","12","starost","34",0,0,0,1,15,8,1,13,9,5,21,9,18,9,2,4,79
"2","obava","12","znepokojeni","35",0,0,0,1,15,8,1,15,9,5,20,10,18,10,1,4,78
"2","obava","12","ulek","36",0,0,0,1,16,9,2,16,10,4,19,10,18,11,1,4,77
"2","rozvaha","13","rozmysl","37",0,0,0,0,17,9,6,16,11,2,18,10,19,11,1,3,76
"2","rozvaha","13","optimizmus","38",0,0,0,0,25,11,6,17,12,2,17,10,19,14,1,3,73
"2","rozvaha","13","odhodlani","39",0,0,0,0,26,13,7,18,12,2,16,11,20,16,0,3,70
"2","ocekavani","14","nadeje","40",0,0,0,0,27,15,8,23,15,2,9,12,20,22,1,3,64
"2","ocekavani","14","vzruseni","41",0,0,0,0,28,17,12,25,16,0,8,16,21,39,4,3,62
"2","ocekavani","14","nadseni","42",0,0,0,0,33,26,14,30,18,0,8,18,28,43,5,3,62
"3","odmitnuti","1","zdvorilost","1",1,0,2,5,0,8,13,5,7,28,23,3,16,6,3,7,112
"3","agrese","1","pratelstvi","2",1,1,2,5,1,8,6,6,4,25,37,6,13,8,1,9,125
"3","kontakt","1","radost","3",1,2,2,5,1,11,13,0,10,16,42,10,14,16,5,8,77
"3","odmitnuti","2","empatie","4",1,0,2,4,0,5,7,2,16,26,46,1,13,9,2,3,132
"3","reakce","2","dik","5",1,1,2,4,0,8,2,5,6,16,42,0,12,6,2,3,128
"3","kontakt","2","obdiv","6",1,2,2,4,0,9,6,3,1,16,27,6,17,1,5,4,125
"3","deprese","3","sdeleni","7",1,0,2,3,8,1,15,0,1,6,22,8,28,1,1,7,116
"3","reakce","3","svadeni","8",1,1,2,3,4,9,13,9,12,2,45,6,14,8,10,10,141
"3","kontakt","3","vyzva","9",1,2,2,3,0,28,36,6,6,20,34,4,8,11,8,7,107
"3","deprese","4","nevinnost","10",1,0,2,5,17,4,18,2,1,7,8,10,18,16,9,6,83
"3","reakce","4","stud","11",1,1,2,5,12,9,15,6,11,10,9,3,18,3,11,3,98
"3","vstrictnost","4","omluva","12",1,2,2,5,28,10,13,4,1,16,23,7,9,6,9,4,83
"3","deprese","5","ironie","13",1,0,0,2,7,3,13,3,7,28,31,7,19,14,4,6,89
"3","rozhodnuti","5","arogance","14",1,1,0,2,15,11,1,2,6,25,35,9,10,11,5,5,83
"3","vstrictnost","5","zlost","15",1,2,0,2,0,13,12,16,5,16,19,1,13,15,2,3,80
"3","obava","6","pozornost","16",1,0,1,1,4,23,31,6,8,4,17,0,5,0,6,7,79
"3","rozhodnuti","6","zvedavost","17",1,1,1,1,0,13,15,5,18,11,8,8,5,12,3,5,95
"3","vstrictnost","6","prekvapeni","18",1,2,1,1,0,32,35,7,0,6,20,10,9,19,5,6,76
"3","obava","7","nesouhlas","19",1,0,1,6,9,6,4,3,9,5,38,1,12,10,14,6,73
"3","rozhodnuti","7","nerozhodnost","20",1,1,1,6,4,9,2,17,4,7,25,9,9,1,4,4,88
"3","evokace","7","souhlas","21",1,2,1,6,27,26,8,13,8,19,56,3,5,22,9,4,110
"3","obava","8","blazenost","22",0,0,2,0,3,4,5,25,3,0,52,3,19,43,9,9,132
"3","pohoda","8","poteseni","23",0,1,2,0,1,2,15,0,15,44,59,5,20,1,0,7,138
"3","evokace","8","hrdost","24",0,2,2,0,11,7,19,2,18,13,48,3,13,39,6,7,105
"3","rozvaha","9","pobaveni","25",0,0,2,4,0,6,1,9,4,38,56,6,9,9,5,7,132
"3","pohoda","9","veseli","26",0,1,2,4,0,15,7,16,2,36,50,4,21,6,2,6,133
"3","evokace","9","smich","27",0,2,2,4,0,7,6,23,7,45,67,4,17,9,7,9,116
"3","rozvaha","10","skepse","28",0,0,0,0,2,0,1,7,1,17,27,2,7,14,2,6,104
"3","pohoda","10","nuda","29",0,1,0,0,0,0,6,18,6,0,16,16,14,7,7,6,104
"3","obrana","10","znechuceni","30",0,2,0,0,16,10,5,2,2,6,25,1,11,4,4,6,83
"3","rozvaha","11","smutek","31",0,0,0,3,15,7,3,8,5,2,25,10,17,8,2,5,82
